ENTIDAD FEDERATIVA;NOMBRE PROGRAMA EDUCATIVO;Matrícula Mujeres;Matrícula Hombres;Matrícula Total;Nuevo Ingreso Mujeres;Nuevo Ingreso Hombres;Nuevo Ingreso Total;Egresados Mujeres;Egresados Hombres;Egresados Total;Titulados Mujeres;Titulados Hombres;Titulados Total
AGUASCALIENTES;LICENCIATURA EN CIENCIAS DE LA COMUNICACIÓN;40;58;98;19;31;50;2;0;2;2;0;2
AGUASCALIENTES;LICENCIATURA EN CIENCIAS DE LA EDUCACIÓN;78;30;108;42;13;55;17;6;23;2;1;3
AGUASCALIENTES;LICENCIATURA EN CIENCIAS DEL ARTE Y GESTIÓN CULTURAL;13;5;18;0;0;0;12;6;18;13;4;17
AGUASCALIENTES;LICENCIATURA EN CIENCIAS DEL DEPORTE;83;255;338;29;104;133;8;24;32;3;11;14
AGUASCALIENTES;LICENCIATURA EN CIENCIAS POLÍTICAS Y ADMINISTRACIÓN PÚBLICA;82;79;161;22;16;38;8;19;27;8;19;27
AGUASCALIENTES;LICENCIATURA EN CIENCIAS Y TÉCNICAS DE LA COMUNICACIÓN;32;20;52;20;12;32;13;9;22;4;1;5
AGUASCALIENTES;LICENCIATURA EN CINEMATOGRAFÍA Y ANIMACIÓN DIGITAL;17;33;50;11;16;27;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN COMERCIO ELECTRÓNICO;66;72;138;13;17;30;9;7;16;12;9;21
AGUASCALIENTES;LICENCIATURA EN COMERCIO EXTERIOR Y ADUANAS;7;8;15;0;1;1;0;2;2;0;0;0
AGUASCALIENTES;LICENCIATURA EN COMERCIO INTERNACIONAL;268;185;453;66;60;126;51;31;82;42;22;64
AGUASCALIENTES;LICENCIATURA EN COMERCIO Y NEGOCIOS INTERNACIONALES;115;145;260;59;62;121;0;2;2;0;1;1
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN;14;15;29;0;0;0;8;7;15;4;1;5
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN CORPORATIVA ESTRATÉGICA ;19;12;31;19;12;31;0;0;0;0;0;0
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN E IMAGEN PÚBLICA;9;10;19;0;0;0;2;1;3;0;1;1
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN E INFORMACIÓN;104;92;196;26;23;49;14;17;31;16;18;34
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN ORGANIZACIONAL;98;27;125;0;0;0;20;6;26;11;1;12
AGUASCALIENTES;LICENCIATURA EN COMUNICACIÓN Y MEDIOS DIGITALES;6;9;15;2;7;9;0;0;0;0;0;0
