ENTIDAD FEDERATIVA;PROGRAMA DE ESTUDIOS;Lugares Ofertados;Matrícula Hombres;Matrícula Mujeres;Matrícula Total;Primer Ingreso Mujeres;Egresados Hombres;Egresados Mujeres;Egresados Total;Graduados Hombres;Graduados Mujeres;Graduados Total
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS EN SISTEMAS DIGITALES;12;5;2;7;2;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO EN CIENCIAS SOCIALES CON ESPECIALIDAD EN ESTUDIOS REGIONALES;0;9;16;25;0;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO EN DERECHO;0;1;2;3;0;1;0;1;0;2;2
BAJA CALIFORNIA;DOCTORADO EN EDUCACIÓN;66;95;133;228;34;20;28;48;10;8;18
BAJA CALIFORNIA;DOCTORADO EN EDUCACIÓN FÍSISCA Y DEPORTE;20;17;13;30;4;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO EN ESTUDIOS DE DESARROLLO GLOBAL;13;23;12;35;4;0;0;0;1;0;1
BAJA CALIFORNIA;DOCTORADO EN GERENCIA Y POLÍTICA EDUCATIVA;20;38;38;76;5;6;9;15;6;9;15
BAJA CALIFORNIA;DOCTORADO EN HISTORIA;0;3;2;5;0;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO EN MEDIO AMBIENTE Y DESARROLLO;0;2;7;9;0;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO EN OCEANOGRAFÍA COSTERA;3;17;21;38;2;0;0;0;2;5;7
BAJA CALIFORNIA;DOCTORADO EN PEDAGOGÍA CRITICA Y EDUCACIÓN POPULAR;93;32;61;93;61;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO EN PLANEACIÓN Y DESARROLLO SUSTENTABLE;0;3;2;5;0;0;0;0;0;0;0
BAJA CALIFORNIA;DOCTORADO INTERINSTITUCIONAL EN CIENCIAS DE LA COMPUTACIÓN;6;7;9;16;2;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN ADMINISTRACIÓN DE RECURSOS HUMANOS;0;3;10;13;0;0;0;0;1;1;2
BAJA CALIFORNIA;ESPECIALIDAD EN ADMINISTRACIÓN FINANCIERA;0;0;1;1;0;0;1;1;3;5;8
BAJA CALIFORNIA;ESPECIALIDAD EN ALTA DIRECCIÓN;32;31;13;44;9;24;9;33;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN CIENCIAS DE LA EDUCACIÓN;67;15;49;64;31;15;26;41;3;5;8
BAJA CALIFORNIA;ESPECIALIDAD EN CIENCIAS JURÍDICO PENALES Y CRIMINOLÓGICAS;37;33;29;62;16;21;16;37;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN CRIMINALÍSTICA;25;8;6;14;6;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN DERECHO;11;12;12;24;8;15;19;34;2;1;3
BAJA CALIFORNIA;ESPECIALIDAD EN DERECHO CONSTITUCIONAL Y AMPARO;50;9;12;21;6;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN DERECHO INTERNACIONAL;0;6;6;12;0;3;5;8;3;5;8
BAJA CALIFORNIA;ESPECIALIDAD EN DERECHO PROCESAL PENAL;30;9;3;12;3;15;10;25;15;10;25
BAJA CALIFORNIA;ESPECIALIDAD EN DOCENCIA;36;13;24;37;20;2;10;12;2;10;12
BAJA CALIFORNIA;ESPECIALIDAD EN DOCENCIA EN INVESTIGACIÓN APLICADA;50;10;42;52;23;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN DOCENCIA UNIVERSITARIA;11;10;26;36;7;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN ENDODONCIA;7;5;17;22;5;6;2;8;6;8;14
BAJA CALIFORNIA;ESPECIALIDAD EN ESTRATEGIAS DE MERCADOTECNIA;23;12;11;23;11;15;12;27;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN ESTRATEGIAS PEDAGÓGICAS;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN ESTUDIOS DE GENERO Y EDUCACIÓN;0;1;4;5;0;2;6;8;2;6;8
BAJA CALIFORNIA;ESPECIALIDAD EN E-SYSTEMS;5;12;1;13;0;5;1;6;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN FINANZAS;0;4;6;10;0;0;0;0;2;1;3
BAJA CALIFORNIA;ESPECIALIDAD EN FISCAL;0;8;8;16;0;0;0;0;9;6;15
BAJA CALIFORNIA;ESPECIALIDAD EN FUNDAMENTOS DE LA TANATOLOGÍA;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN GESTIÓN AMBIENTAL;16;5;12;17;12;1;6;7;3;7;10
BAJA CALIFORNIA;ESPECIALIDAD EN GESTIÓN DE RECURSOS HUMANOS;64;20;28;48;23;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN IMPUESTOS;0;13;21;34;21;14;10;24;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN ODONTOLOGÍA PEDIÁTRICA;4;1;9;10;4;0;0;0;0;5;5
BAJA CALIFORNIA;ESPECIALIDAD EN ORTODONCIA;0;10;6;16;0;1;2;3;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN PERIODONCIA;0;4;4;8;0;0;0;0;1;1;2
BAJA CALIFORNIA;ESPECIALIDAD EN PRÁCTICA DOCENTE;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN PROSTODONCIA;4;4;4;8;4;6;2;8;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN PSICOTERAPIA;45;8;19;27;19;3;26;29;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN TRADUCCIÓN E INTERPRETACIÓN;9;3;6;9;6;3;14;17;0;0;0
BAJA CALIFORNIA;ESPECIALIDAD EN VITICULTURA Y ENOLOGÍA;0;5;0;5;0;0;0;0;2;2;4
BAJA CALIFORNIA;MAESTRÍA CORPORATIVA EN TELECOMUNICACIONES Y REDES DE INFORMACIÓN;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN;32;94;106;200;13;18;10;28;5;7;12
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN ADMINISTRACIÓN PÚBLICA;1;1;3;4;1;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN ALTA DIRECCIÓN;34;196;132;328;10;51;25;76;51;25;76
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN CADENA DE SUMINISTROS;8;23;22;45;3;3;4;7;3;4;7
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN CALIDAD;5;6;7;13;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN DESARROLLO ECONÓMICO;6;0;4;4;1;1;2;3;1;2;3
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN FINANZAS;22;66;36;102;3;29;9;38;29;9;38
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN MERCADOTECNIA;13;34;41;75;2;5;9;14;5;9;14
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN NEGOCIOS INTERNACIONALES;9;2;8;10;2;1;1;2;1;1;2
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN CON CONCENTRACIÓN EN RECURSOS HUMANOS;9;8;23;31;1;4;6;10;2;6;8
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN DE LA CONSTRUCCIÓN;30;18;6;24;6;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN DE NEGOCIOS;30;6;7;13;3;1;2;3;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN EDUCATIVA;20;9;23;32;0;7;7;14;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN INTEGRAL DEL AMBIENTE;0;7;13;20;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN INTERNACIONAL;13;18;12;30;4;0;0;0;6;1;7
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN ODONTOLÓGICA;10;7;6;13;4;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ADMINISTRACIÓN PÚBLICA;0;1;1;2;0;2;3;5;6;5;11
BAJA CALIFORNIA;MAESTRÍA EN ALTA DIRECCIÓN;7;6;1;7;1;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN ARQUITECTURA;9;9;7;16;3;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIA POLÍTICA;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS DE LA CALIDAD Y PRODUCTIVIDAD;0;0;0;0;0;1;0;1;1;0;1
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS DE LA COMPUTACIÓN;7;15;10;25;1;3;3;6;2;5;7
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS DE LA EDUCACIÓN;0;15;39;54;0;1;1;2;3;6;9
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS DE LA INGENIERÍA;9;35;14;49;3;7;5;12;7;4;11
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS DE LA SALUD;30;21;44;65;20;4;0;4;3;5;8
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS E INGENIERÍA;39;126;81;207;13;1;0;1;25;17;42
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS ECONÓMICAS;7;5;9;14;6;3;0;3;3;1;4
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EDUCATIVAS;25;12;22;34;13;0;0;0;5;8;13
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN ACUICULTURA;12;16;6;22;3;2;4;6;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN ADMINISTRACIÓN DE MATERIALES Y LOGÍSTICA;5;14;8;22;0;2;1;3;2;1;3
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN ADMINISTRACIÓN INDUSTRIAL;10;46;7;53;0;19;6;25;11;4;15
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN AUTOMATIZACIÓN Y CONTROL;7;16;1;17;1;3;0;3;3;0;3
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN CALIDAD Y PRODUCTIVIDAD;6;12;4;16;0;2;2;4;2;2;4
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN CIENCIAS DE LA COMPUTACIÓN;20;34;13;47;2;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN CIENCIAS DE LA TIERRA;11;23;14;37;5;9;7;16;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN CIENCIAS DE LA VIDA;20;17;29;46;12;4;10;14;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN DISEÑO Y PROCESOS DE MANUFACTURA;7;13;0;13;0;1;0;1;1;0;1
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN ECOLOGÍA MARINA;0;8;24;32;5;5;8;13;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN ECOLOGÍA MOLECULAR Y BIOTECNOLOGÍA;6;21;23;44;4;1;3;4;4;1;5
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN ELECTRÓNICA Y TELECOMUNICACIONES;10;27;10;37;3;8;3;11;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN FÍSICA DE MATERIALES;5;10;6;16;1;2;1;3;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN INGENIERÍA AEROESPACIAL;8;26;5;31;2;4;2;6;4;2;6
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN MICROELECTRÓNICA Y SEMICONDUCTORES;0;1;0;1;0;6;0;6;6;0;6
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN OCEANOGRAFÍA COSTERA;9;23;35;58;6;0;0;0;1;9;10
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN OCEANOGRAFÍA FÍSICA;8;9;10;19;3;2;1;3;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN ÓPTICA;20;20;7;27;4;6;1;7;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN QUÍMICA;11;6;12;18;5;7;1;8;7;1;8
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN REDES Y TELECOMUNICACIONES;7;16;2;18;0;2;0;2;2;0;2
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS EN SISTEMAS DE CÓMPUTO DISTRIBUIDO;5;5;2;7;0;4;1;5;4;1;5
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS FORENSES;65;40;25;65;25;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS JURÍDICAS;71;47;24;71;24;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS JURÍDICO PENALES;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS PENALES;79;29;37;66;27;8;4;12;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS SOCIALES;0;7;6;13;0;0;0;0;0;1;1
BAJA CALIFORNIA;MAESTRÍA EN CIENCIAS VETERINARIAS;2;9;9;18;2;4;4;8;3;6;9
BAJA CALIFORNIA;MAESTRÍA EN COMUNICACIÓN;0;8;5;13;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN COMUNICACIÓN Y DISEÑO GRÁFICO;0;0;0;0;0;0;0;0;2;2;4
BAJA CALIFORNIA;MAESTRÍA EN CONTADURÍA;0;42;25;67;0;13;9;22;8;6;14
BAJA CALIFORNIA;MAESTRÍA EN CRIMINOLOGÍA;8;17;11;28;0;0;3;3;0;3;3
BAJA CALIFORNIA;MAESTRÍA EN CULTURA ESCRITA;15;2;15;17;3;1;2;3;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN DEMOGRAFÍA;0;0;0;0;0;0;0;0;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN DERECHO;5;32;41;73;1;2;3;5;23;18;41
BAJA CALIFORNIA;MAESTRÍA EN DERECHO ADUANAL;10;9;7;16;3;6;4;10;0;0;0
BAJA CALIFORNIA;MAESTRÍA EN DERECHO CORPORATIVO E INTERNACIONAL;9;9;11;20;2;4;2;6;4;2;6
BAJA CALIFORNIA;MAESTRÍA EN DERECHO CORPORATIVO INTERNACIONAL;0;0;0;0;0;1;0;1;1;0;1
